"GEO_ID","NAME","B17021_001E","B17021_001EA","B17021_001M","B17021_001MA","B17021_002E","B17021_002EA","B17021_002M","B17021_002MA","B17021_003E","B17021_003M","B17021_003MA","B17021_003EA","B17021_004E","B17021_004EA","B17021_004M","B17021_004MA","B17021_005E","B17021_005EA","B17021_005M","B17021_005MA","B17021_006E","B17021_006EA","B17021_006M","B17021_006MA","B17021_007E","B17021_007EA","B17021_007M","B17021_007MA","B17021_008E","B17021_008EA","B17021_008M","B17021_008MA","B17021_009E","B17021_009EA","B17021_009M","B17021_009MA","B17021_010E","B17021_010EA","B17021_010M","B17021_010MA","B17021_011E","B17021_011EA","B17021_011M","B17021_011MA","B17021_012E","B17021_012M","B17021_012MA","B17021_012EA","B17021_013E","B17021_013EA","B17021_013M","B17021_013MA","B17021_014E","B17021_014M","B17021_014MA","B17021_014EA","B17021_015E","B17021_015EA","B17021_015M","B17021_015MA","B17021_016E","B17021_016EA","B17021_016M","B17021_016MA","B17021_017E","B17021_017EA","B17021_017M","B17021_017MA","B17021_018E","B17021_018EA","B17021_018M","B17021_018MA","B17021_019E","B17021_019EA","B17021_019M","B17021_019MA","B17021_020E","B17021_020EA","B17021_020M","B17021_020MA","B17021_021E","B17021_021EA","B17021_021M","B17021_021MA","B17021_022E","B17021_022EA","B17021_022M","B17021_022MA","B17021_023E","B17021_023M","B17021_023MA","B17021_023EA","B17021_024E","B17021_024EA","B17021_024M","B17021_024MA","B17021_025E","B17021_025EA","B17021_025M","B17021_025MA","B17021_026E","B17021_026EA","B17021_026M","B17021_026MA","B17021_027E","B17021_027EA","B17021_027M","B17021_027MA","B17021_028E","B17021_028EA","B17021_028M","B17021_028MA","B17021_029E","B17021_029EA","B17021_029M","B17021_029MA","B17021_030E","B17021_030EA","B17021_030M","B17021_030MA","B17021_031E","B17021_031M","B17021_031MA","B17021_031EA","B17021_032E","B17021_032EA","B17021_032M","B17021_032MA","B17021_033E","B17021_033EA","B17021_033M","B17021_033MA","B17021_034E","B17021_034EA","B17021_034M","B17021_034MA","B17021_035E","B17021_035M","B17021_035MA","B17021_035EA",
"1500000US516500104003","Block Group 3, Census Tract 104, Hampton city, Virginia","2440","null","554","null","522","null","333","null","396","337","null","null","61","null","67","null","61","null","67","null","0","null","13","null","335","null","327","null","35","null","57","null","0","null","13","null","35","null","57","null","300","null","324","null","300","324","null","null","0","null","13","null","126","83","null","null","102","null","80","null","102","null","80","null","0","null","13","null","24","null","36","null","1918","null","535","null","1615","null","536","null","896","null","356","null","896","null","356","null","0","13","null","null","719","null","499","null","305","null","269","null","305","null","269","null","0","null","13","null","414","null","348","null","414","null","348","null","0","null","13","null","303","143","null","null","303","null","143","null","283","null","143","null","20","null","31","null","0","13","null","null",
"1500000US516500104004","Block Group 4, Census Tract 104, Hampton city, Virginia","1493","null","735","null","373","null","353","null","333","349","null","null","22","null","40","null","22","null","40","null","0","null","13","null","311","null","355","null","0","null","13","null","0","null","13","null","0","null","13","null","311","null","355","null","311","355","null","null","0","null","13","null","40","48","null","null","40","null","48","null","40","null","48","null","0","null","13","null","0","null","13","null","1120","null","683","null","901","null","669","null","259","null","204","null","259","null","204","null","0","13","null","null","642","null","668","null","20","null","36","null","20","null","36","null","0","null","13","null","622","null","665","null","622","null","665","null","0","null","13","null","219","136","null","null","177","null","107","null","136","null","94","null","41","null","50","null","42","50","null","null",
"1500000US516500104005","Block Group 5, Census Tract 104, Hampton city, Virginia","643","null","280","null","159","null","167","null","70","143","null","null","70","null","143","null","70","null","143","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","89","95","null","null","89","null","95","null","89","null","95","null","0","null","13","null","0","null","13","null","484","null","226","null","274","null","221","null","240","null","205","null","240","null","205","null","0","13","null","null","34","null","60","null","0","null","13","null","0","null","13","null","0","null","13","null","34","null","60","null","34","null","60","null","0","null","13","null","210","119","null","null","171","null","87","null","151","null","83","null","20","null","37","null","39","63","null","null",
"1500000US516500105021","Block Group 1, Census Tract 105.02, Hampton city, Virginia","1166","null","335","null","355","null","242","null","113","94","null","null","10","null","21","null","0","null","13","null","10","null","21","null","103","null","96","null","0","null","13","null","0","null","13","null","0","null","13","null","103","null","96","null","103","96","null","null","0","null","13","null","242","231","null","null","147","null","119","null","65","null","51","null","82","null","106","null","95","null","121","null","811","null","262","null","712","null","259","null","468","null","160","null","468","null","160","null","0","13","null","null","244","null","206","null","147","null","168","null","147","null","168","null","0","null","13","null","97","null","130","null","97","null","130","null","0","null","13","null","99","71","null","null","99","null","71","null","99","null","71","null","0","null","13","null","0","13","null","null",
"1500000US516500105022","Block Group 2, Census Tract 105.02, Hampton city, Virginia","584","null","338","null","15","null","24","null","15","24","null","null","15","null","24","null","15","null","24","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","569","null","339","null","509","null","347","null","178","null","196","null","178","null","196","null","0","13","null","null","331","null","282","null","15","null","30","null","15","null","30","null","0","null","13","null","316","null","284","null","316","null","284","null","0","null","13","null","60","42","null","null","54","null","38","null","48","null","37","null","6","null","12","null","6","12","null","null",
"1500000US516500105023","Block Group 3, Census Tract 105.02, Hampton city, Virginia","1198","null","389","null","167","null","194","null","135","193","null","null","135","null","193","null","95","null","133","null","40","null","62","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","32","29","null","null","21","null","23","null","21","null","23","null","0","null","13","null","11","null","18","null","1031","null","357","null","722","null","283","null","354","null","227","null","354","null","227","null","0","13","null","null","368","null","231","null","105","null","150","null","105","null","150","null","0","null","13","null","263","null","189","null","263","null","189","null","0","null","13","null","309","206","null","null","269","null","176","null","219","null","161","null","50","null","63","null","40","59","null","null",
"1500000US516500105031","Block Group 1, Census Tract 105.03, Hampton city, Virginia","857","null","421","null","46","null","64","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","46","64","null","null","0","null","13","null","0","null","13","null","0","null","13","null","46","null","64","null","811","null","422","null","612","null","451","null","474","null","377","null","474","null","377","null","0","13","null","null","138","null","200","null","0","null","13","null","0","null","13","null","0","null","13","null","138","null","200","null","138","null","200","null","0","null","13","null","199","89","null","null","199","null","89","null","156","null","78","null","43","null","64","null","0","13","null","null",
"1500000US516500105032","Block Group 2, Census Tract 105.03, Hampton city, Virginia","1689","null","936","null","701","null","603","null","657","597","null","null","657","null","597","null","657","null","597","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","44","42","null","null","44","null","42","null","44","null","42","null","0","null","13","null","0","null","13","null","988","null","572","null","834","null","579","null","459","null","455","null","459","null","455","null","0","13","null","null","375","null","346","null","52","null","87","null","52","null","87","null","0","null","13","null","323","null","339","null","323","null","339","null","0","null","13","null","154","91","null","null","154","null","91","null","154","null","91","null","0","null","13","null","0","13","null","null",
"1500000US516500105041","Block Group 1, Census Tract 105.04, Hampton city, Virginia","1452","null","412","null","63","null","67","null","56","66","null","null","0","null","13","null","0","null","13","null","0","null","13","null","56","null","66","null","38","null","61","null","38","null","61","null","0","null","13","null","18","null","27","null","0","13","null","null","18","null","27","null","7","7","null","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","7","null","1389","null","416","null","1233","null","411","null","891","null","382","null","876","null","372","null","15","28","null","null","342","null","216","null","85","null","87","null","68","null","84","null","17","null","26","null","257","null","203","null","257","null","203","null","0","null","13","null","156","96","null","null","151","null","96","null","151","null","96","null","0","null","13","null","5","6","null","null",
"1500000US516500105042","Block Group 2, Census Tract 105.04, Hampton city, Virginia","2698","null","895","null","1232","null","896","null","1093","892","null","null","259","null","259","null","229","null","247","null","30","null","41","null","834","null","859","null","0","null","13","null","0","null","13","null","0","null","13","null","834","null","859","null","834","859","null","null","0","null","13","null","139","86","null","null","135","null","86","null","135","null","86","null","0","null","13","null","4","null","8","null","1466","null","423","null","970","null","350","null","350","null","242","null","350","null","242","null","0","13","null","null","620","null","398","null","33","null","51","null","33","null","51","null","0","null","13","null","587","null","398","null","587","null","398","null","0","null","13","null","496","218","null","null","474","null","213","null","457","null","213","null","17","null","28","null","22","28","null","null",
